threshold,.estimator,f_meas,precision,recall,bal_accuracy,accuracy
0.01,binary,0.4854354066985646,0.995916444165227,0.3209332928434052,0.6583936118179712,0.483537592685082
0.02,binary,0.5714594750504759,0.9933567310102782,0.40110335054155277,0.6963258739631699,0.5433554881094165
0.03,binary,0.622283929191253,0.9902783915156872,0.45368964470088063,0.7198283975378108,0.581927849706097
0.04,binary,0.6595163411919457,0.9884743706399758,0.49483753416337684,0.73832930766532745,0.6121633562564831
0.05,binary,0.6857558043528519,0.9867883281056934,0.5254580423119749,0.7516462592360384,0.6344461946290676
0.060000000000000005,binary,0.708761466403034,0.9855764896781755,0.5533454803117724,0.7639156041329234,0.6548080986591879
0.06999999999999999,binary,0.7279568863803055,0.9838806999396603,0.577690049600162,0.7739351220732431,0.6722501824887626
0.08,binary,0.7431807456347335,0.982040409079571,0.5977831764348618,0.7816694545864311,0.6863882592492988
0.09,binary,0.7565147086261583,0.9809677419354839,0.6156493572223909,0.7890079029773253,0.6991816819701102
0.09999999999999999,binary,0.768587417747986,0.9791601378878094,0.6325539022168236,0.7950682124702361,0.7108609627722925
0.11,binary,0.7788057702842534,0.9767175572519083,0.6475857880352263,0.7994746034738403,0.7207729839794076
0.12,binary,0.7891439243327911,0.9746279761904761,0.6629719607247697,0.8042973342134453,0.7310691920550155
0.13,binary,0.7974683544303799,0.9721939146891833,0.6759793501366536,0.8075320128135031,0.7393676284144608
0.14,binary,0.8067788589512288,0.9705400981996727,0.6903026622127746,0.8121422416469709,0.7490107188136309
0.15000000000000002,binary,0.8141063255486445,0.96844897389362,0.702196578601073,0.8150593800356665,0.7565792001229398
0.16,binary,0.821721669285839,0.966721446179129,0.7145460066808381,0.8185232026706695,0.7646471243612893
0.17,binary,0.8274905349556371,0.964495048170855,0.7245672638931066,0.8202648151709194,0.7706788581966268
0.18000000000000002,binary,0.8333572473957587,0.9622904102326197,0.7348921955663529,0.8220785328015148,0.7769026854662108
0.19,binary,0.8385441901558981,0.9596842585948203,0.7445591659074805,0.8230051450650462,0.782358138998809
