threshold,.estimator,f_meas,precision,recall,bal_accuracy,accuracy
0.01,binary,0.413322632423756,0.997675319643549,0.26065391233930557,0.6293701709679306,0.43831879826347536
0.02,binary,0.5386688323673816,0.9952257536488883,0.36926814454904344,0.6818434487694987,0.5198816704445042
0.03,binary,0.6067360427506681,0.9934377158646097,0.43673448729628506,0.713822513939962,0.5702485689039148
0.04,binary,0.652398423698872,0.9921471378383964,0.48598036238485676,0.736930541581521,0.6068999961581313
0.05,binary,0.6872171011332474,0.9896279379579408,0.5263690656949084,0.7544937339318107,0.6362902915978332
0.060000000000000005,binary,0.7128533540332493,0.9874551971326165,0.557748759995951,0.767711885977883,0.6589188981520612
0.06999999999999999,binary,0.7333163848989449,0.9853116994022203,0.5839659884603705,0.7782690730055002,0.677590379960813
0.08,binary,0.749976522147441,0.9829326331336671,0.6062860613422412,0.7865587538412688,0.6931499481347727
0.09,binary,0.7636442301749181,0.9805555555555555,0.6253163275635186,0.7931237992465975,0.7061738829766798
0.09999999999999999,binary,0.7754079325307096,0.9784083898827884,0.6421702601477882,0.7987601420337092,0.7176226516577663
0.11,binary,0.7856516347578865,0.976174370537392,0.6573539831966798,0.8034019158528447,0.7277267662991279
0.12,binary,0.7951013564092583,0.9734584646968253,0.6719809697337787,0.807127464614936,0.737100925890353
0.13,binary,0.8045083790597657,0.971698789138067,0.6864055066302257,0.8117085737584233,0.7467824349763725
0.14,binary,0.8125679687270376,0.9690150718541886,0.6996153456827614,0.8145660845779459,0.7550040339621191
0.15000000000000002,binary,0.82010026815903,0.966872852233677,0.7120153861726896,0.8175768208171692,0.7628798647662223
0.16,binary,0.8270020237062735,0.9643338727076591,0.723909302560988,0.8197763703045731,0.7701025778938876
0.17,binary,0.8329793950525168,0.961890243902439,0.7345379086952121,0.8214229967650832,0.7764032425371701
0.18000000000000002,binary,0.8389265568913452,0.9595933263816475,0.7452171272395991,0.8231746615308185,0.7827807445541511
0.19,binary,0.8441628242482532,0.9569037388571795,0.7551877720417046,0.8240139147244083,0.7883514541472972
0.2,binary,0.8494397169095963,0.9541926935453341,0.7654114788946249,0.8248202347431186,0.7940374198009912
0.21000000000000002,binary,0.8536517324108688,0.9510193933366484,0.774369875493471,0.8243560428336435,0.7984555687886588
0.22,binary,0.8571666296871534,0.9481531476254755,0.7821135742484057,0.8236831625029304,0.80214376272619
0.23,binary,0.8611923013290685,0.9459655924400291,0.7903633971049702,0.8240606652244673,0.8066003304007069
0.24000000000000002,binary,0.8655441478439425,0.942744677044194,0.8000303674460978,0.8234723675852718,0.8113258288831687
0.25,binary,0.8690725861364564,0.9408503862711565,0.8074703917400546,0.823763899426079,0.8153213723154943
0.26,binary,0.8724210754318515,0.9379948765719609,0.8154165401356412,0.8227935834149742,0.8189711475661762
0.27,binary,0.8759929985189174,0.9360073660585831,0.8232108513007389,0.8229433302907776,0.8230819470590495
0.28,binary,0.8790979215770302,0.9336101945613835,0.8306002631845328,0.8222527707247811,0.8265780475623343
0.29000000000000004,binary,0.882439089335641,0.9310557959206608,0.8386476364004454,0.8214925313241264,0.8303814975604134
0.3,binary,0.884679577184942,0.9281783312024015,0.8450754124911428,0.8195238328601464,0.832763456145069
0.31,binary,0.886322893599072,0.9249477275228348,0.8507946148395586,0.8166427228240211,0.8343386223058896
0.32,binary,0.8889821615949633,0.9227752968086265,0.8575766778013969,0.8157282208971902,0.8374121172538322
0.33,binary,0.8911527309771962,0.9208097165991903,0.8633464925599758,0.8147062553694473,0.8399093318990357
0.34,binary,0.8932882414151925,0.91901295364522,0.8689644700880655,0.8138475675268904,0.8424065465442391
0.35000000000000003,binary,0.8946236559139785,0.9164941338854382,0.8737726490535479,0.8114677310010205,0.843751200583964
0.36000000000000004,binary,0.8962813966682139,0.9136698212407992,0.8795424638121268,0.8088511234704072,0.8454800414921818
0.37,binary,0.8980252176369379,0.9114841265704009,0.8849579916995647,0.8070938898060891,0.8474393945214953
0.38,binary,0.8995039124431033,0.9090345255323548,0.8901710699463509,0.8047570387205841,0.8490145606823158
0.39,binary,0.9006038678115524,0.9068192313612807,0.8944731248102035,0.8024430685444734,0.8501287026009451
0.4,binary,0.9013326564284807,0.9041095890410958,0.8985727300334042,0.7991508204464581,0.8506665642168351
0.41000000000000003,binary,0.9020977251448671,0.9020292495319063,0.9021662111549752,0.7967217596996372,0.8513581005801222
0.42000000000000004,binary,0.9030908082488781,0.8996885674100864,0.9065188784289908,0.7940344352278904,0.8523185677513543
0.43,binary,0.9033311561071194,0.8967976855546688,0.9099605223200729,0.7900145459630981,0.8521648930039571
0.44,binary,0.9037459935897435,0.8943403707007632,0.913351553800992,0.7866869393945161,0.8523185677513543
0.45,binary,0.904246295095055,0.8916551859870104,0.9171980969733778,0.7830289639706628,0.85254907987245
0.46,binary,0.9047891528797114,0.8897587708567793,0.9203360664034821,0.7805316115783956,0.8529716854277921
0.47000000000000003,binary,0.9054620286118067,0.8874848116646415,0.924182609575868,0.7775114929556903,0.8535095470436821
0.48000000000000004,binary,0.9057471264367817,0.885200753732425,0.9272699665958093,0.7741915133569064,0.8535095470436821
0.49,binary,0.9059087435600366,0.8830313806526022,0.9300030367446098,0.7709335866229826,0.853355872296285
0.5,binary,0.9061417090614171,0.8807510391285653,0.9330397813543881,0.7675085687189738,0.8532790349225864
0.51,binary,0.9063503345506237,0.8786769947250868,0.9358234639133516,0.7643556802902749,0.8532021975488878
0.52,binary,0.9065096276023848,0.8763583104979684,0.9388095961129669,0.7607458919808974,0.8530101041146414
0.53,binary,0.9065263465614265,0.8738903762153022,0.9416945034922563,0.7567665628607829,0.8525874985592993
0.54,binary,0.9065157183810311,0.8716595028966548,0.9442757364105678,0.7531137891110407,0.8521648930039571
0.55,binary,0.9068307930892436,0.8698805262423877,0.9470594189695313,0.7503595611830594,0.852280149064505
0.56,binary,0.9065113356214048,0.8675518134715026,0.9491345277862132,0.7462942611822152,0.8513965192669715
0.5700000000000001,binary,0.9068035572265202,0.8655624568668047,0.9521712723959915,0.7431084395786368,0.8514349379538207
0.5800000000000001,binary,0.9065737291190963,0.8632306495170962,0.9544994432634882,0.7390102064029129,0.8506665642168351
0.59,binary,0.9069460761982401,0.8616793475784774,0.9572325134122887,0.7365496006704244,0.8508970763379308
0.6,binary,0.9065467505441672,0.8594494081364235,0.9591051725883186,0.7324628079493978,0.8498981904798494
0.61,binary,0.9066622140591083,0.8574328896909542,0.9618888551472821,0.7289909911201249,0.8496676783587537
0.62,binary,0.906612101168241,0.8554622603385569,0.9642676384249418,0.7254761888504871,0.8492066541165623
0.63,binary,0.9063382454142047,0.8531921547603092,0.9665451968822756,0.7212729173695384,0.848361443005878
0.64,binary,0.9059452806967717,0.8508491153196408,0.9686709181091203,0.716834263073058,0.8473241384609475
0.65,binary,0.9053843612854514,0.8480374823196606,0.97104970138678,0.7114058903999759,0.8459410657343732
0.66,binary,0.9050431835831784,0.8457884319331427,0.9732260350237878,0.7070722744087206,0.8449805985631411
0.67,binary,0.9047853971386285,0.8442719978955675,0.974643182508351,0.7041131715444003,0.844289062199854
0.68,binary,0.9042662916080638,0.8421971880185136,0.9762121672234032,0.6999542736930283,0.8430980829075262
0.6900000000000001,binary,0.9037539469067946,0.8401095795103709,0.9778317643486183,0.6957409499465943,0.8419071036151984
0.7000000000000001,binary,0.9032197853476435,0.8378495368366375,0.9796538111144852,0.6911504584196251,0.8406392869491721
0.7100000000000001,binary,0.9022181877429416,0.8352079293255764,0.9809191213685595,0.6855640097354678,0.83860309654616
0.72,binary,0.9016911354766773,0.8333190210390725,0.9822856564429598,0.6816228154643439,0.8374121172538322
0.73,binary,0.9008019283363464,0.8308961860783308,0.9835509666970341,0.6764350272809042,0.8355680202850666
0.74,binary,0.8999259739058016,0.8287601193012356,0.9844619900799676,0.6717876845631858,0.8338007606899996
0.75,binary,0.8988945558607002,0.8261570440758494,0.985676687923879,0.6660961975738036,0.831687732913289
0.76,binary,0.8980061702813464,0.8237033282649097,0.9870432229982792,0.6607198255000963,0.8298052172576741
0.77,binary,0.8970682841650582,0.8214255659345283,0.9880554712015386,0.6556447025916798,0.82788428291521
0.78,binary,0.8961184859114567,0.819103902091454,0.989118331814961,0.6504354216880578,0.8259249298858965
0.79,binary,0.8952990964199932,0.8168385023166507,0.9904342544791983,0.6453526718098431,0.8241576702908294
0.8,binary,0.8940182648401827,0.8143665252474835,0.9909403785808281,0.6396258263498942,0.8216604556456261
0.81,binary,0.8931875142401459,0.8122410077904857,0.9920538516044134,0.6347607800519276,0.819893196050559
0.8200000000000001,binary,0.8921684555211933,0.8100173424725411,0.9928636501670209,0.6295844323231852,0.8178185869606976
0.8300000000000001,binary,0.8913092806898116,0.8078315235274761,0.9940277356007693,0.6245054959298696,0.8159744899919321
0.8400000000000001,binary,0.8901825759978252,0.8056831228473019,0.994483247292236,0.6193912010659872,0.8137462061546736
0.85,binary,0.8893964406051423,0.803867064546458,0.9952930458548436,0.6150919064388235,0.8120942026201544
0.86,binary,0.888322123414436,0.8016539025582532,0.9960016195971252,0.6097852141997745,0.8099043374697453
0.87,binary,0.887296651795773,0.7996263807667316,0.9965583561089179,0.6048809959463421,0.807829728379884
0.88,binary,0.8865594421324935,0.7979106774102118,0.9973681546715255,0.6007411655194655,0.8062545622190633
0.89,binary,0.8855294487622984,0.7960823909531503,0.9976212167223403,0.5962432347365488,0.8042183718160514
0.9,binary,0.8844782345421517,0.7941283073577383,0.9980261160036441,0.5914225620681591,0.8021053440393408
0.91,binary,0.8835834266517358,0.7924634420697413,0.9983804028747849,0.5872941720959796,0.8002996657574244
0.92,binary,0.882366091388715,0.790221830703932,0.9988359145662516,0.5817014846312362,0.7978408697990703
0.93,binary,0.8814036027589902,0.7884269797532047,0.9992408138475555,0.5771997403634206,0.7958815167697568
0.9400000000000001,binary,0.8799500813406727,0.7861039219589887,0.9992408138475555,0.5712995649528002,0.7930385339429098
0.9500000000000001,binary,0.8787022408153274,0.7840832373615028,0.9992914262577184,0.566142284648553,0.7905797379845557
0.9600000000000001,binary,0.8773270538054827,0.7818340196388976,0.9993926510780443,0.5603724537482392,0.7878520112182565
0.97,binary,0.8761976579134138,0.7798262929332807,0.9997469379491851,0.5552075464741939,0.7855468900072996
0.98,binary,0.874548956234919,0.7772181782411961,0.9997469379491851,0.5484303179619949,0.7822813016251104
0.99,binary,0.8724245301768876,0.7738687561214496,0.9997469379491851,0.539659786946208,0.7780552460716893
