model,threshold,f_meas,precision,recall,bal_accuracy,accuracy
LogReg,0.59,0.9069460761982401,0.8616793475784774,0.9572325134122887,0.7365496006704244,0.8508970763379308
NaiveBayes,0.4,0.9003718180951472,0.8508874673393999,0.9559672031582144,0.7140703501040633,0.839409888969995
RandomForest,0.55,0.9136668036651113,0.874612358250405,0.9563721024395182,0.7621917919309694,0.8628068692612086
