threshold,.estimator,f_meas,precision,recall,bal_accuracy,accuracy
0.01,binary,0.87332252664027,0.9193755944721088,0.8316631237979553,0.8009376055921685,0.8168581197894655
0.02,binary,0.8825681883061272,0.9056724367509986,0.8606134224111752,0.7891011618514177,0.8261554420069922
0.03,binary,0.8876015687078667,0.8991950142820047,0.8763032695616966,0.7833916284022803,0.8315340581658919
0.04,binary,0.8905506804018821,0.8951270644781919,0.8860208523129871,0.7794798887621386,0.8346843904875332
0.05,binary,0.8926422250316056,0.8918755052546483,0.893410264196781,0.7760784377912624,0.8368742556379423
0.060000000000000005,binary,0.8935281837160751,0.888144407220361,0.8989776293147079,0.7711281066363047,0.837373698566983
0.06999999999999999,binary,0.8945101182127831,0.8853743182944968,0.9038364206903533,0.7675775948133635,0.8381804909908179
0.08,binary,0.8951649119305424,0.8827002558551467,0.907986638323717,0.7639119924197121,0.8385646778593108
0.09,binary,0.8957390742305972,0.8802032440883331,0.9118331814961028,0.7604134811961458,0.838872027354105
0.09999999999999999,binary,0.8964987486681368,0.8781979707752804,0.9155784998481628,0.7577414106639953,0.8395251450305429
0.11,binary,0.8972521498467926,0.8766296475132787,0.918868306508756,0.7557186373876901,0.8402551000806793
0.12,binary,0.8975888762881515,0.8750240338396462,0.9213483146067416,0.7533706969302245,0.8404087748280764
0.13,binary,0.8980656593000935,0.8740180111132401,0.9234740358335864,0.7520415945393415,0.8408697990702678
0.14,binary,0.8983641990470109,0.8726856270280587,0.9255997570604312,0.7500746353473102,0.841023473817665
0.15000000000000002,binary,0.8987226948441982,0.8715229898720935,0.9276748658771131,0.7484012983507715,0.84129240462561
0.16,binary,0.8988989478835332,0.8700738916256158,0.9296993622836319,0.7461445304481467,0.8412539859387607
0.17,binary,0.8995163890381516,0.8692409365558912,0.9319769207409657,0.7451305429729387,0.8419455223020477
0.18000000000000002,binary,0.899419540510219,0.8679627188853323,0.93324223099504,0.7429725745949527,0.8415613354335549
0.19,binary,0.899539709213122,0.8669201520912547,0.9347099908897661,0.7413144915380101,0.8415229167467057
0.2,binary,0.8992802256589826,0.8654404193578583,0.9358740763235145,0.7387072502491436,0.8408697990702678
0.21000000000000002,binary,0.8992010878803331,0.8642580404238436,0.9370887741674259,0.7366834398663633,0.8405240308886243
0.22,binary,0.8993308117544369,0.8631667132086009,0.9386577588824779,0.7349165050192967,0.840485612201775
0.23,binary,0.8993389350316002,0.8621570175031339,0.9398724567263893,0.7332116230370904,0.8402935187675286
0.24000000000000002,binary,0.8994145822245875,0.8614457831325302,0.9408847049296487,0.7320433730357062,0.8402551000806793
