threshold,.estimator,f_meas,precision,recall,bal_accuracy,accuracy
0.01,binary,0.48959168862915853,0.9978203331776428,0.3243749367344873,0.6610712189652344,0.4866110876330247
0.02,binary,0.6046757270614745,0.9934058306339657,0.4346087660694402,0.7127596533265396,0.5686349840562449
0.03,binary,0.6623774716205747,0.9902306375264377,0.49762121672234033,0.741076594647249,0.6149295017096316
0.04,binary,0.7045299117465074,0.9879441044844278,0.5474744407328677,0.7632125831474894,0.6514272542164509
0.05,binary,0.7343323385611784,0.9850936967632027,0.5853325235347707,0.7787131442422697,0.6785124284451958
0.060000000000000005,binary,0.7576087294432181,0.9819485857039246,0.6167122178358133,0.7904961184857586,0.7004494986361366
0.06999999999999999,binary,0.7748056558731713,0.9800247754722824,0.6406518878428991,0.7997550620844219,0.7173153021629721
0.08,binary,0.7894990947495474,0.9775818263338814,0.6621115497519992,0.8071361448329443,0.7319912405393983
0.09,binary,0.8028097746822632,0.9744923766168075,0.6825589634578398,0.8131340503782581,0.7454761996234969
0.09999999999999999,binary,0.813347850395786,0.9715289982425308,0.6994635084522725,0.8174402536680115,0.7563102693149948
0.11,binary,0.8231597323247017,0.9681084040514646,0.7159631541654013,0.8208264184158214,0.766491221330055
0.12,binary,0.8317453006707158,0.9643548494760029,0.731197489624456,0.8230218033355895,0.775442775365938
0.13,binary,0.8410443299262591,0.9612756264236902,0.7475452981070959,0.8263320494681549,0.7855084713204503
0.14,binary,0.8483499140433447,0.9571383147853736,0.761767385362891,0.8271442571847145,0.7932690460640055
0.15000000000000002,binary,0.8545728811665456,0.9536159600997506,0.7741674258528191,0.8277630304196323,0.7999923162626301
0.16,binary,0.8598907951994235,0.9504319588260524,0.7850997064480211,0.8280465842079047,0.8057935379768719
0.17,binary,0.8651947980533942,0.9470896286041052,0.7963356615042009,0.8280833147259483,0.811633178377963
0.18000000000000002,binary,0.8693397385157081,0.9434800639848332,0.8060026318453285,0.8269368923857483,0.81608974605248
0.19,binary,0.873608063074047,0.9400034983382893,0.8159732766474339,0.8259423072760372,0.8207768258480925
0.2,binary,0.8775356470271723,0.9366528830691477,0.8254377973479097,0.8247743922156547,0.8251181374620615
0.21000000000000002,binary,0.8812898748031286,0.9324408292379822,0.8354590545601781,0.8223699355084417,0.8291520995812364
0.22,binary,0.8847112478124834,0.9291044776119403,0.8443668387488612,0.8206844558917324,0.8329555495793154
0.23,binary,0.8884792626728111,0.9260580776198056,0.853831359449337,0.8195165408313501,0.8372968611932844
0.24000000000000002,binary,0.8919816873773708,0.9231602317647696,0.862840368458346,0.8182803341255213,0.8413692419993085
0.25,binary,0.8941084666406556,0.9197302937871248,0.8698754934709991,0.8153395965202229,0.8435975258365669
0.26,binary,0.8967943908307676,0.917323876568041,0.877163680534467,0.8140402998430587,0.8467478581582082
0.27,binary,0.8988931788931788,0.9145715482924786,0.8837432938556534,0.8118285915937492,0.8490913980560144
0.28,binary,0.9003637108754675,0.9114291640738436,0.8895637210243952,0.8085994334670692,0.8505513081562872
0.29000000000000004,binary,0.9017848036715961,0.9086424827869695,0.8950298613219961,0.8057512566058235,0.85201121825656
0.3,binary,0.902947373765581,0.9058218305913514,0.9000911023382934,0.8026208980037823,0.8531253601751893
0.31,binary,0.9038505296690517,0.9030058095478656,0.9046968316631238,0.7992627835560078,0.8538937339121749
0.32,binary,0.9047259169689641,0.9006419901695255,0.9088470492964875,0.796474234263935,0.8547005263360098
0.33,binary,0.9054521743491999,0.8973951083714456,0.9136552282619699,0.7922605594347643,0.8551615505782012
0.34,binary,0.9059158588987709,0.8944745929945732,0.9176536086648446,0.7882798421254378,0.8553152253255983
0.35000000000000003,binary,0.9062453346603633,0.8912979639780736,0.9217026014778824,0.7837663063201883,0.8552383879518998
0.36000000000000004,binary,0.9063949019316125,0.8884837878566915,0.9250430205486385,0.7796160725450895,0.8549694571439548
0.37,binary,0.9069020073173144,0.886392190973229,0.9283834396193946,0.776741552372287,0.8553152253255983
0.38,binary,0.9073480853580406,0.8841240875912408,0.9318250835104768,0.77351898410893,0.855545737446694
0.39,binary,0.9075366021420851,0.8817183770883055,0.9349124405304181,0.769880076109572,0.8553920626992969
0.4,binary,0.9075453209211171,0.8794511442408128,0.9374936734487296,0.7663070344599732,0.8550078758308041
0.41000000000000003,binary,0.9079583760809028,0.8774787535410765,0.9406316428788339,0.7634110215669883,0.8552383879518998
0.42000000000000004,binary,0.9078998636275083,0.8749178635126256,0.9434659378479603,0.7592469220415052,0.8547005263360098
0.43,binary,0.907743518720995,0.8729379877564372,0.9454398218443162,0.7559283306319333,0.8541242460332705
0.44,binary,0.9080019398642095,0.8715668932129225,0.947616155481324,0.7538272134446965,0.8542395020938184
0.45,binary,0.9078855041254323,0.8697325112419452,0.9495394270675169,0.7507225121304735,0.8537400591647778
0.46,binary,0.9079490833554746,0.8684101095042277,0.9512602490130581,0.7485531032977903,0.8535863844173807
0.47000000000000003,binary,0.9079645164400733,0.8668415723096751,0.9531835205992509,0.7459267945844286,0.8533174536094357
0.48000000000000004,binary,0.908194197180388,0.8655080704328687,0.9553092418260958,0.7438003711921102,0.8533942909831342
0.49,binary,0.9078252520403265,0.8633914710985298,0.9570806761817998,0.7399818944614946,0.8524722424987514
0.5,binary,0.9074531036630651,0.8615293635991448,0.958548436076526,0.7365697052013949,0.8515886127012179
0.51,binary,0.9072702069690742,0.8594910342329288,0.9606741573033708,0.7329283719063497,0.85093549502478
0.52,binary,0.9072828730862784,0.8578192640692641,0.9627998785302156,0.7300046275125962,0.8506281455299858
0.53,binary,0.9068743005452771,0.8562885021808535,0.963812126733475,0.7270822713080547,0.8497445157324522
0.54,binary,0.9063212927756654,0.854269330705134,0.9651280493977124,0.7231955029319929,0.8485535364401244
