model,threshold,f_meas,precision,recall,bal_accuracy,accuracy
Ensemble_Avg,0.48000000000000004,0.9080893849373392,0.8652761861104744,0.9553598542362587,0.7433472847963306,0.8532021975488878
Ensemble_Weighted,0.48000000000000004,0.908194197180388,0.8655080704328687,0.9553092418260958,0.7438003711921102,0.8533942909831342
